hg38_CytoBands_Info,b,c,d,e,f,chm13v2.0_CytoBands_Info,h,i,j,k,l,m,n
chr14,69800000,73300000,q24.2,gpos50,3500000,chr14,64007668,67506518,q24.2,gpos50,3498850,liftover,
chr14,73300000,78800000,q24.3,gneg,5500000,chr14,67506518,73008616,q24.3,gneg,5502098,liftover,
chr14,78800000,83100000,q31.1,gpos100,4300000,chr14,73008616,77312020,q31.1,gpos100,4303404,liftover,
chr14,83100000,84400000,q31.2,gneg,1300000,chr14,77312020,78613483,q31.2,gneg,1301463,liftover,
chr14,84400000,89300000,q31.3,gpos100,4900000,chr14,78613483,83523641,q31.3,gpos100,4910158,liftover,
chr14,89300000,91400000,q32.11,gneg,2100000,chr14,83523641,85625240,q32.11,gneg,2101599,liftover,
chr14,91400000,94200000,q32.12,gpos25,2800000,chr14,85625240,88427273,q32.12,gpos25,2802033,liftover,
chr14,94200000,95800000,q32.13,gneg,1600000,chr14,88427273,90031477,q32.13,gneg,1604204,liftover,
chr14,95800000,100900000,q32.2,gpos50,5100000,chr14,90031477,95135433,q32.2,gpos50,5103956,liftover,
chr14,100900000,102700000,q32.31,gneg,1800000,chr14,95135433,96936346,q32.31,gneg,1800913,liftover,
chr14,102700000,103500000,q32.32,gpos50,800000,chr14,96936346,97736032,q32.32,gpos50,799686,liftover,
chr14,103500000,107043718,q32.33,gneg,3543718,chr14,97736032,101161492,q32.33,gneg,3425460,"L boundary liftover, R boundary set to chromosome end",
chr15,0,4200000,p13,gvar,4200000,chr15,0,2484618,p13,gvar,2484618,R boundary at rDNA L boundary,
chr15,4200000,9700000,p12,stalk,5500000,chr15,2484618,4728636,p12,stalk,2244018,boundaries at rDNA array boundaries,
chr15,9700000,17500000,p11.2,gvar,7800000,chr15,4728636,16678794,p11.2,gvar,11950158,"L boundary at rDNA R boundary, R boundary at HOR array L boundary",
chr15,17500000,19000000,p11.1,acen,1500000,chr15,16678794,17186630,p11.1,acen,507836,"L boundary at HOR array L boundary, R boundary at midpoint of HOR array",
chr15,19000000,20500000,q11.1,acen,1500000,chr15,17186630,17694466,q11.1,acen,507836,"R boundary at HOR array R boundary, L boundary at midpoint of HOR array",
chr15,20500000,25500000,q11.2,gneg,5000000,chr15,17694466,23236963,q11.2,gneg,5542497,"L boundary at HOR array R boundary, R boundary lifted over",
chr15,25500000,27800000,q12,gpos50,2300000,chr15,23236963,25542506,q12,gpos50,2305543,liftover,
chr15,27800000,30000000,q13.1,gneg,2200000,chr15,25542506,27791711,q13.1,gneg,2249205,liftover,
chr15,30000000,30900000,q13.2,gpos50,900000,chr15,27791711,28693986,q13.2,gpos50,902275,liftover,
chr15,30900000,33400000,q13.3,gneg,2500000,chr15,28693986,31196487,q13.3,gneg,2502501,liftover,
chr15,33400000,39800000,q14,gpos75,6400000,chr15,31196487,37605195,q14,gpos75,6408708,liftover,
chr15,39800000,42500000,q15.1,gneg,2700000,chr15,37605195,40306040,q15.1,gneg,2700845,liftover,
chr15,42500000,43300000,q15.2,gpos25,800000,chr15,40306040,41107300,q15.2,gpos25,801260,liftover,
chr15,43300000,44500000,q15.3,gneg,1200000,chr15,41107300,42307677,q15.3,gneg,1200377,liftover,
chr15,44500000,49200000,q21.1,gpos75,4700000,chr15,42307677,47008200,q21.1,gpos75,4700523,liftover,
chr15,49200000,52600000,q21.2,gneg,3400000,chr15,47008200,50408265,q21.2,gneg,3400065,liftover,
chr15,52600000,58800000,q21.3,gpos75,6200000,chr15,50408265,56602018,q21.3,gpos75,6193753,liftover,
chr15,58800000,59000000,q22.1,gneg,200000,chr15,56602018,56802078,q22.1,gneg,200060,liftover,
chr15,59000000,63400000,q22.2,gpos25,4400000,chr15,56802078,61204679,q22.2,gpos25,4402601,liftover,
chr15,63400000,66900000,q22.31,gneg,3500000,chr15,61204679,64721821,q22.31,gneg,3517142,liftover,
chr15,66900000,67000000,q22.32,gpos25,100000,chr15,64721821,64821874,q22.32,gpos25,100053,liftover,
chr15,67000000,67200000,q22.33,gneg,200000,chr15,64821874,65021911,q22.33,gneg,200037,liftover,
chr15,67200000,72400000,q23,gpos25,5200000,chr15,65021911,70217331,q23,gpos25,5195420,liftover,
chr15,72400000,74900000,q24.1,gneg,2500000,chr15,70217331,72769881,q24.1,gneg,2552550,liftover,
chr15,74900000,76300000,q24.2,gpos25,1400000,chr15,72769881,74171079,q24.2,gpos25,1401198,liftover,
chr15,76300000,78000000,q24.3,gneg,1700000,chr15,74171079,75862542,q24.3,gneg,1691463,liftover,
chr15,78000000,81400000,q25.1,gpos50,3400000,chr15,75862542,79264071,q25.1,gpos50,3401529,liftover,
chr15,81400000,84700000,q25.2,gneg,3300000,chr15,79264071,82452409,q25.2,gneg,3188338,liftover,
chr15,84700000,88500000,q25.3,gpos50,3800000,chr15,82452409,86254599,q25.3,gpos50,3802190,liftover,
chr15,88500000,93800000,q26.1,gneg,5300000,chr15,86254599,91561911,q26.1,gneg,5307312,liftover,
chr15,93800000,98000000,q26.2,gpos50,4200000,chr15,91561911,95765652,q26.2,gpos50,4203741,liftover,
chr15,98000000,101991189,q26.3,gneg,3991189,chr15,95765652,99753195,q26.3,gneg,3987543,"L boundary liftover, R boundary set to chromosome end",
chr16,0,7800000,p13.3,gneg,7800000,chr16,0,7831635,p13.3,gneg,7831635,liftover,
chr16,7800000,10400000,p13.2,gpos50,2600000,chr16,7831635,10435669,p13.2,gpos50,2604034,liftover,
chr16,10400000,12500000,p13.13,gneg,2100000,chr16,10435669,12537038,p13.13,gneg,2101369,liftover,
chr16,12500000,14700000,p13.12,gpos50,2200000,chr16,12537038,14730876,p13.12,gpos50,2193838,liftover,
chr16,14700000,16700000,p13.11,gneg,2000000,chr16,14730876,16712187,p13.11,gneg,1981311,liftover,
chr16,16700000,21200000,p12.3,gpos50,4500000,chr16,16712187,21130950,p12.3,gpos50,4418763,liftover,
chr16,21200000,24200000,p12.2,gneg,3000000,chr16,21130950,24476520,p12.2,gneg,3345570,liftover,
chr16,24200000,28500000,p12.1,gpos50,4300000,chr16,24476520,28752507,p12.1,gpos50,4275987,liftover,
chr16,28500000,35300000,p11.2,gneg,6800000,chr16,28752507,35848286,p11.2,gneg,7095779,"L boundary lifted over, R boundary at HOR array L boundary",
chr16,35300000,36800000,p11.1,acen,1500000,chr16,35848286,36838903,p11.1,acen,990617,"L boundary at HOR array L boundary, R boundary at midpoint of HOR array",
chr16,36800000,38400000,q11.1,acen,1600000,chr16,36838903,37829521,q11.1,acen,990618,"R boundary at HOR array R boundary, L boundary at midpoint of HOR array",
chr16,38400000,47000000,q11.2,gvar,8600000,chr16,37829521,52219471,q11.2,gvar,14389950,"L boundary at HOR array R boundary, R boundary lifted over",
chr16,47000000,52600000,q12.1,gneg,5600000,chr16,52219471,58397876,q12.1,gneg,6178405,liftover,
chr16,52600000,56000000,q12.2,gpos50,3400000,chr16,58397876,61794998,q12.2,gpos50,3397122,liftover,
chr16,56000000,57300000,q13,gneg,1300000,chr16,61794998,63095972,q13,gneg,1300974,liftover,
chr16,57300000,66600000,q21,gpos100,9300000,chr16,63095972,72394295,q21,gpos100,9298323,liftover,
chr16,66600000,70800000,q22.1,gneg,4200000,chr16,72394295,76611172,q22.1,gneg,4216877,liftover,
chr16,70800000,72800000,q22.2,gpos50,2000000,chr16,76611172,78617811,q22.2,gpos50,2006639,liftover,
chr16,72800000,74100000,q22.3,gneg,1300000,chr16,78617811,79917729,q22.3,gneg,1299918,liftover,
chr16,74100000,79200000,q23.1,gpos75,5100000,chr16,79917729,85256228,q23.1,gpos75,5338499,liftover,
chr16,79200000,81600000,q23.2,gneg,2400000,chr16,85256228,87661662,q23.2,gneg,2405434,liftover,
chr16,81600000,84100000,q23.3,gpos50,2500000,chr16,87661662,90166083,q23.3,gpos50,2504421,liftover,
chr16,84100000,87000000,q24.1,gneg,2900000,chr16,90166083,93070234,q24.1,gneg,2904151,liftover,
chr16,87000000,88700000,q24.2,gpos25,1700000,chr16,93070234,94769136,q24.2,gpos25,1698902,liftover,
chr16,88700000,90338345,q24.3,gneg,1638345,chr16,94769136,96330374,q24.3,gneg,1561238,"L boundary liftover, R boundary set to chromosome end",
chr17,0,3400000,p13.3,gneg,3400000,chr17,0,3288940,p13.3,gneg,3288940,liftover,
chr17,3400000,6500000,p13.2,gpos50,3100000,chr17,3288940,6400012,p13.2,gpos50,3111072,liftover,
chr17,6500000,10800000,p13.1,gneg,4300000,chr17,6400012,10707908,p13.1,gneg,4307896,liftover,
chr17,10800000,16100000,p12,gpos75,5300000,chr17,10707908,16002309,p12,gpos75,5294401,liftover,
chr17,16100000,22700000,p11.2,gneg,6600000,chr17,16002309,23892419,p11.2,gneg,7890110,"L boundary lifted over, R boundary at HOR array L boundary",
chr17,22700000,25100000,p11.1,acen,2400000,chr17,23892419,25689679,p11.1,acen,1797260,"L boundary at HOR array L boundary, R boundary at midpoint of HOR array",
chr17,25100000,27400000,q11.1,acen,2300000,chr17,25689679,27486939,q11.1,acen,1797260,"R boundary at HOR array R boundary, L boundary at midpoint of HOR array",
chr17,27400000,33500000,q11.2,gneg,6100000,chr17,27486939,34446012,q11.2,gneg,6959073,"L boundary at HOR array R boundary, R boundary lifted over",
chr17,33500000,39800000,q12,gpos50,6300000,chr17,34446012,40663561,q12,gpos50,6217549,liftover,
chr17,39800000,40200000,q21.1,gneg,400000,chr17,40663561,41063885,q21.1,gneg,400324,liftover,
chr17,40200000,42800000,q21.2,gpos25,2600000,chr17,41063885,43657141,q21.2,gpos25,2593256,liftover,
chr17,42800000,46800000,q21.31,gneg,4000000,chr17,43657141,47661458,q21.31,gneg,4004317,liftover,
chr17,46800000,49300000,q21.32,gpos25,2500000,chr17,47661458,50163080,q21.32,gpos25,2501622,liftover,
chr17,49300000,52100000,q21.33,gneg,2800000,chr17,50163080,52967757,q21.33,gneg,2804677,liftover,
chr17,52100000,59500000,q22,gpos75,7400000,chr17,52967757,60368167,q22,gpos75,7400410,liftover,
chr17,59500000,60200000,q23.1,gneg,700000,chr17,60368167,61068949,q23.1,gneg,700782,liftover,
chr17,60200000,63100000,q23.2,gpos75,2900000,chr17,61068949,63970246,q23.2,gpos75,2901297,liftover,
chr17,63100000,64600000,q23.3,gneg,1500000,chr17,63970246,65469760,q23.3,gneg,1499514,liftover,
chr17,64600000,66200000,q24.1,gpos50,1600000,chr17,65469760,67070785,q24.1,gpos50,1601025,liftover,
chr17,66200000,69100000,q24.2,gneg,2900000,chr17,67070785,69976574,q24.2,gneg,2905789,liftover,
chr17,69100000,72900000,q24.3,gpos75,3800000,chr17,69976574,73787784,q24.3,gpos75,3811210,liftover,
chr17,72900000,76800000,q25.1,gneg,3900000,chr17,73787784,77692007,q25.1,gneg,3904223,liftover,
chr17,76800000,77200000,q25.2,gpos25,400000,chr17,77692007,78093613,q25.2,gpos25,401606,liftover,
chr17,77200000,83257441,q25.3,gneg,6057441,chr17,78093613,84276897,q25.3,gneg,6183284,"L boundary liftover, R boundary set to chromosome end",
chr18,0,2900000,p11.32,gneg,2900000,chr18,0,3055502,p11.32,gneg,3055502,liftover,
chr18,2900000,7200000,p11.31,gpos50,4300000,chr18,3055502,7363114,p11.31,gpos50,4307612,liftover,
chr18,7200000,8500000,p11.23,gneg,1300000,chr18,7363114,8663156,p11.23,gneg,1300042,liftover,
chr18,8500000,10900000,p11.22,gpos25,2400000,chr18,8663156,11062106,p11.22,gpos25,2398950,liftover,
chr18,10900000,15400000,p11.21,gneg,4500000,chr18,11062106,15965699,p11.21,gneg,4903593,"L boundary lifted over, R boundary at HOR array L boundary",
chr18,15400000,18500000,p11.1,acen,3100000,chr18,15965699,18449624,p11.1,acen,2483925,"L boundary at HOR array L boundary, R boundary at midpoint of HOR array",
chr18,18500000,21500000,q11.1,acen,3000000,chr18,18449624,20933550,q11.1,acen,2483926,"R boundary at HOR array R boundary, L boundary at midpoint of HOR array",
chr18,21500000,27500000,q11.2,gneg,6000000,chr18,20933550,27694024,q11.2,gneg,6760474,"L boundary at HOR array R boundary, R boundary lifted over",
chr18,27500000,35100000,q12.1,gpos100,7600000,chr18,27694024,35291319,q12.1,gpos100,7597295,liftover,
chr18,35100000,39500000,q12.2,gneg,4400000,chr18,35291319,39695477,q12.2,gneg,4404158,liftover,
chr18,39500000,45900000,q12.3,gpos75,6400000,chr18,39695477,46090953,q12.3,gpos75,6395476,liftover,
chr18,45900000,50700000,q21.1,gneg,4800000,chr18,46090953,50901745,q21.1,gneg,4810792,liftover,
chr18,50700000,56200000,q21.2,gpos75,5500000,chr18,50901745,56402692,q21.2,gpos75,5500947,liftover,
chr18,56200000,58600000,q21.31,gneg,2400000,chr18,56402692,58801152,q21.31,gneg,2398460,liftover,
chr18,58600000,61300000,q21.32,gpos50,2700000,chr18,58801152,61503246,q21.32,gpos50,2702094,liftover,
chr18,61300000,63900000,q21.33,gneg,2600000,chr18,61503246,64105093,q21.33,gneg,2601847,liftover,
chr18,63900000,69100000,q22.1,gpos100,5200000,chr18,64105093,69316653,q22.1,gpos100,5211560,liftover,
chr18,69100000,71000000,q22.2,gneg,1900000,chr18,69316653,71221701,q22.2,gneg,1905048,liftover,
chr18,71000000,75400000,q22.3,gpos25,4400000,chr18,71221701,75629292,q22.3,gpos25,4407591,liftover,
chr18,75400000,80373285,q23,gneg,4973285,chr18,75629292,80542538,q23,gneg,4913246,"L boundary liftover, R boundary set to chromosome end",
chr19,0,6900000,p13.3,gneg,6900000,chr19,0,6889318,p13.3,gneg,6889318,liftover,
chr19,6900000,12600000,p13.2,gpos25,5700000,chr19,6889318,12724341,p13.2,gpos25,5835023,liftover,
chr19,12600000,13800000,p13.13,gneg,1200000,chr19,12724341,13926177,p13.13,gneg,1201836,liftover,
chr19,13800000,16100000,p13.12,gpos25,2300000,chr19,13926177,16234072,p13.12,gpos25,2307895,liftover,
chr19,16100000,19900000,p13.11,gneg,3800000,chr19,16234072,20037734,p13.11,gneg,3803662,liftover,
chr19,19900000,24200000,p12,gvar,4300000,chr19,20037734,25817676,p12,gvar,5779942,"L boundary lifted over, R boundary at HOR array L boundary",
chr19,24200000,26200000,p11,acen,2000000,chr19,25817676,27792923,p11,acen,1975247,"L boundary at HOR array L boundary, R boundary at midpoint of HOR array",
chr19,26200000,28100000,q11,acen,1900000,chr19,27792923,29768171,q11,acen,1975248,"R boundary at HOR array R boundary, L boundary at midpoint of HOR array",
chr19,28100000,31900000,q12,gvar,3800000,chr19,29768171,34418519,q12,gvar,4650348,"L boundary at HOR array R boundary, R boundary lifted over",
chr19,31900000,35100000,q13.11,gneg,3200000,chr19,34418519,37644588,q13.11,gneg,3226069,liftover,
chr19,35100000,37800000,q13.12,gpos25,2700000,chr19,37644588,40601536,q13.12,gpos25,2956948,liftover,
chr19,37800000,38200000,q13.13,gneg,400000,chr19,40601536,41002157,q13.13,gneg,400621,liftover,
chr19,38200000,42900000,q13.2,gpos25,4700000,chr19,41002157,45718957,q13.2,gpos25,4716800,liftover,
chr19,42900000,44700000,q13.31,gneg,1800000,chr19,45718957,47524747,q13.31,gneg,1805790,liftover,
chr19,44700000,47500000,q13.32,gpos25,2800000,chr19,47524747,50330819,q13.32,gpos25,2806072,liftover,
chr19,47500000,50900000,q13.33,gneg,3400000,chr19,50330819,53989630,q13.33,gneg,3658811,liftover,
chr19,50900000,53100000,q13.41,gpos25,2200000,chr19,53989630,56182556,q13.41,gpos25,2192926,liftover,
chr19,53100000,55800000,q13.42,gneg,2700000,chr19,56182556,58899358,q13.42,gneg,2716802,liftover,
chr19,55800000,58617616,q13.43,gpos25,2817616,chr19,58899358,61707364,q13.43,gpos25,2808006,"L boundary liftover, R boundary set to chromosome end",
chr2,0,4400000,p25.3,gneg,4400000,chr2,0,4423386,p25.3,gneg,4423386,liftover,
chr2,4400000,6900000,p25.2,gpos50,2500000,chr2,4423386,6921497,p25.2,gpos50,2498111,liftover,
chr2,6900000,12000000,p25.1,gneg,5100000,chr2,6921497,12028815,p25.1,gneg,5107318,liftover,
chr2,12000000,16500000,p24.3,gpos75,4500000,chr2,12028815,16531703,p24.3,gpos75,4502888,liftover,
chr2,16500000,19000000,p24.2,gneg,2500000,chr2,16531703,19032774,p24.2,gneg,2501071,liftover,
chr2,19000000,23800000,p24.1,gpos75,4800000,chr2,19032774,23835087,p24.1,gpos75,4802313,liftover,
chr2,23800000,27700000,p23.3,gneg,3900000,chr2,23835087,27743068,p23.3,gneg,3907981,liftover,
chr2,27700000,29800000,p23.2,gpos25,2100000,chr2,27743068,29843598,p23.2,gpos25,2100530,liftover,
chr2,29800000,31800000,p23.1,gneg,2000000,chr2,29843598,31845058,p23.1,gneg,2001460,liftover,
chr2,31800000,36300000,p22.3,gpos75,4500000,chr2,31845058,36306629,p22.3,gpos75,4461571,liftover,
chr2,36300000,38300000,p22.2,gneg,2000000,chr2,36306629,38306895,p22.2,gneg,2000266,liftover,
chr2,38300000,41500000,p22.1,gpos50,3200000,chr2,38306895,41509232,p22.1,gpos50,3202337,liftover,
chr2,41500000,47500000,p21,gneg,6000000,chr2,41509232,47505052,p21,gneg,5995820,liftover,
chr2,47500000,52600000,p16.3,gpos100,5100000,chr2,47505052,52596301,p16.3,gpos100,5091249,liftover,
chr2,52600000,54700000,p16.2,gneg,2100000,chr2,52596301,54694000,p16.2,gneg,2097699,liftover,
chr2,54700000,61000000,p16.1,gpos100,6300000,chr2,54694000,61005834,p16.1,gpos100,6311834,liftover,
chr2,61000000,63900000,p15,gneg,2900000,chr2,61005834,63907559,p15,gneg,2901725,liftover,
chr2,63900000,68400000,p14,gpos50,4500000,chr2,63907559,68410570,p14,gpos50,4503011,liftover,
chr2,68400000,71300000,p13.3,gneg,2900000,chr2,68410570,71311026,p13.3,gneg,2900456,liftover,
chr2,71300000,73300000,p13.2,gpos50,2000000,chr2,71311026,73312998,p13.2,gpos50,2001972,liftover,
chr2,73300000,74800000,p13.1,gneg,1500000,chr2,73312998,74808844,p13.1,gneg,1495846,liftover,
chr2,74800000,83100000,p12,gpos100,8300000,chr2,74808844,83100333,p12,gpos100,8291489,liftover,
chr2,83100000,91800000,p11.2,gneg,8700000,chr2,83100333,92333543,p11.2,gneg,9233210,"L boundary lifted over, R boundary at HOR array L boundary",
chr2,91800000,93900000,p11.1,acen,2100000,chr2,92333543,93503283,p11.1,acen,1169740,"L boundary at HOR array L boundary, R boundary at midpoint of HOR array",
chr2,93900000,96000000,q11.1,acen,2100000,chr2,93503283,94673023,q11.1,acen,1169740,"R boundary at HOR array R boundary, L boundary at midpoint of HOR array",
chr2,96000000,102100000,q11.2,gneg,6100000,chr2,94673023,102558292,q11.2,gneg,7885269,"L boundary at HOR array R boundary, R boundary lifted over",
chr2,102100000,105300000,q12.1,gpos50,3200000,chr2,102558292,105761211,q12.1,gpos50,3202919,liftover,
chr2,105300000,106700000,q12.2,gneg,1400000,chr2,105761211,107161426,q12.2,gneg,1400215,liftover,
chr2,106700000,108700000,q12.3,gpos25,2000000,chr2,107161426,109160598,q12.3,gpos25,1999172,liftover,
chr2,108700000,112200000,q13,gneg,3500000,chr2,109160598,112626870,q13,gneg,3466272,liftover,
chr2,112200000,118100000,q14.1,gpos50,5900000,chr2,112626870,118533173,q14.1,gpos50,5906303,liftover,
chr2,118100000,121600000,q14.2,gneg,3500000,chr2,118533173,122035284,q14.2,gneg,3502111,liftover,
chr2,121600000,129100000,q14.3,gpos50,7500000,chr2,122035284,129528325,q14.3,gpos50,7493041,liftover,
chr2,129100000,131700000,q21.1,gneg,2600000,chr2,129528325,132134645,q21.1,gneg,2606320,liftover,
chr2,131700000,134300000,q21.2,gpos25,2600000,chr2,132134645,134739485,q21.2,gpos25,2604840,liftover,
chr2,134300000,136100000,q21.3,gneg,1800000,chr2,134739485,136544463,q21.3,gneg,1804978,liftover,
chr2,136100000,141500000,q22.1,gpos100,5400000,chr2,136544463,141946261,q22.1,gpos100,5401798,liftover,
chr2,141500000,143400000,q22.2,gneg,1900000,chr2,141946261,143848187,q22.2,gneg,1901926,liftover,
chr2,143400000,147900000,q22.3,gpos100,4500000,chr2,143848187,148350462,q22.3,gpos100,4502275,liftover,
chr2,147900000,149000000,q23.1,gneg,1100000,chr2,148350462,149450376,q23.1,gneg,1099914,liftover,
chr2,149000000,149600000,q23.2,gpos25,600000,chr2,149450376,150050446,q23.2,gpos25,600070,liftover,
chr2,149600000,154000000,q23.3,gneg,4400000,chr2,150050446,154452841,q23.3,gneg,4402395,liftover,
chr2,154000000,158900000,q24.1,gpos75,4900000,chr2,154452841,159362096,q24.1,gpos75,4909255,liftover,
chr2,158900000,162900000,q24.2,gneg,4000000,chr2,159362096,163356865,q24.2,gneg,3994769,liftover,
chr2,162900000,168900000,q24.3,gpos75,6000000,chr2,163356865,169374490,q24.3,gpos75,6017625,liftover,
chr2,168900000,177100000,q31.1,gneg,8200000,chr2,169374490,177582181,q31.1,gneg,8207691,liftover,
chr2,177100000,179700000,q31.2,gpos50,2600000,chr2,177582181,180183173,q31.2,gpos50,2600992,liftover,
chr2,179700000,182100000,q31.3,gneg,2400000,chr2,180183173,182589080,q31.3,gneg,2405907,liftover,
chr2,182100000,188500000,q32.1,gpos75,6400000,chr2,182589080,188988809,q32.1,gpos75,6399729,liftover,
chr2,188500000,191100000,q32.2,gneg,2600000,chr2,188988809,191589136,q32.2,gneg,2600327,liftover,
chr2,191100000,196600000,q32.3,gpos75,5500000,chr2,191589136,197084040,q32.3,gpos75,5494904,liftover,
chr2,196600000,202500000,q33.1,gneg,5900000,chr2,197084040,202981065,q33.1,gneg,5897025,liftover,
chr2,202500000,204100000,q33.2,gpos50,1600000,chr2,202981065,204581908,q33.2,gpos50,1600843,liftover,
chr2,204100000,208200000,q33.3,gneg,4100000,chr2,204581908,208679779,q33.3,gneg,4097871,liftover,
chr2,208200000,214500000,q34,gpos100,6300000,chr2,208679779,214984516,q34,gpos100,6304737,liftover,
chr2,214500000,220700000,q35,gneg,6200000,chr2,214984516,221185014,q35,gneg,6200498,liftover,
chr2,220700000,224300000,q36.1,gpos75,3600000,chr2,221185014,224783144,q36.1,gpos75,3598130,liftover,
chr2,224300000,225200000,q36.2,gneg,900000,chr2,224783144,225681833,q36.2,gneg,898689,liftover,
chr2,225200000,230100000,q36.3,gpos100,4900000,chr2,225681833,230582566,q36.3,gpos100,4900733,liftover,
chr2,230100000,234700000,q37.1,gneg,4600000,chr2,230582566,235189048,q37.1,gneg,4606482,liftover,
chr2,234700000,236400000,q37.2,gpos50,1700000,chr2,235189048,236890330,q37.2,gpos50,1701282,liftover,
chr2,236400000,242193529,q37.3,gneg,5793529,chr2,236890330,242696752,q37.3,gneg,5806422,"L boundary liftover, R boundary set to chromosome end",
chr20,0,5100000,p13,gneg,5100000,chr20,0,5139422,p13,gneg,5139422,liftover,
chr20,5100000,9200000,p12.3,gpos75,4100000,chr20,5139422,9242915,p12.3,gpos75,4103493,liftover,
chr20,9200000,12000000,p12.2,gneg,2800000,chr20,9242915,12043277,p12.2,gneg,2800362,liftover,
chr20,12000000,17900000,p12.1,gpos75,5900000,chr20,12043277,17951106,p12.1,gpos75,5907829,liftover,
chr20,17900000,21300000,p11.23,gneg,3400000,chr20,17951106,21359369,p11.23,gneg,3408263,liftover,
chr20,21300000,22300000,p11.22,gpos25,1000000,chr20,21359369,22357561,p11.22,gpos25,998192,liftover,
chr20,22300000,25700000,p11.21,gneg,3400000,chr20,22357561,26925852,p11.21,gneg,4568291,"L boundary lifted over, R boundary at HOR array L boundary",
chr20,25700000,28100000,p11.1,acen,2400000,chr20,26925852,28012753,p11.1,acen,1086901,"L boundary at HOR array L boundary, R boundary at midpoint of HOR array",
chr20,28100000,30400000,q11.1,acen,2300000,chr20,28012753,29099655,q11.1,acen,1086902,"R boundary at HOR array R boundary, L boundary at midpoint of HOR array",
chr20,30400000,33500000,q11.21,gneg,3100000,chr20,29099655,35226553,q11.21,gneg,6126898,"L boundary at HOR array R boundary, R boundary lifted over",
chr20,33500000,35800000,q11.22,gpos25,2300000,chr20,35226553,37520975,q11.22,gpos25,2294422,liftover,
chr20,35800000,39000000,q11.23,gneg,3200000,chr20,37520975,40730034,q11.23,gneg,3209059,liftover,
chr20,39000000,43100000,q12,gpos75,4100000,chr20,40730034,44834038,q12,gpos75,4104004,liftover,
chr20,43100000,43500000,q13.11,gneg,400000,chr20,44834038,45233263,q13.11,gneg,399225,liftover,
chr20,43500000,47800000,q13.12,gpos25,4300000,chr20,45233263,49539094,q13.12,gpos25,4305831,liftover,
chr20,47800000,51200000,q13.13,gneg,3400000,chr20,49539094,52970605,q13.13,gneg,3431511,liftover,
chr20,51200000,56400000,q13.2,gpos75,5200000,chr20,52970605,58177493,q13.2,gpos75,5206888,liftover,
chr20,56400000,57800000,q13.31,gneg,1400000,chr20,58177493,59578060,q13.31,gneg,1400567,liftover,
chr20,57800000,59700000,q13.32,gpos50,1900000,chr20,59578060,61484264,q13.32,gpos50,1906204,liftover,
chr20,59700000,64444167,q13.33,gneg,4744167,chr20,61484264,66210255,q13.33,gneg,4725991,"L boundary liftover, R boundary set to chromosome end",
chr21,0,3100000,p13,gvar,3100000,chr21,0,3084882,p13,gvar,3084882,R boundary at rDNA L boundary,
chr21,3100000,7000000,p12,stalk,3900000,chr21,3084882,5633495,p12,stalk,2548613,boundaries at rDNA array boundaries,
chr21,7000000,10900000,p11.2,gvar,3900000,chr21,5633495,10962853,p11.2,gvar,5329358,"L boundary at rDNA R boundary, R boundary at HOR array L boundary",
chr21,10900000,12000000,p11.1,acen,1100000,chr21,10962853,11134529,p11.1,acen,171676,"L boundary at HOR array L boundary, R boundary at midpoint of HOR array",
chr21,12000000,13000000,q11.1,acen,1000000,chr21,11134529,11306205,q11.1,acen,171676,"R boundary at HOR array R boundary, L boundary at midpoint of HOR array",
chr21,13000000,15000000,q11.2,gneg,2000000,chr21,11306205,13355188,q11.2,gneg,2048983,"L boundary at HOR array R boundary, R boundary lifted over",
chr21,15000000,22600000,q21.1,gpos100,7600000,chr21,13355188,20956835,q21.1,gpos100,7601647,liftover,
chr21,22600000,25500000,q21.2,gneg,2900000,chr21,20956835,23857586,q21.2,gneg,2900751,liftover,
chr21,25500000,30200000,q21.3,gpos75,4700000,chr21,23857586,28565933,q21.3,gpos75,4708347,liftover,
chr21,30200000,34400000,q22.11,gneg,4200000,chr21,28565933,32782056,q22.11,gneg,4216123,liftover,
chr21,34400000,36400000,q22.12,gpos50,2000000,chr21,32782056,34782581,q22.12,gpos50,2000525,liftover,
chr21,36400000,38300000,q22.13,gneg,1900000,chr21,34782581,36683433,q22.13,gneg,1900852,liftover,
chr21,38300000,41200000,q22.2,gpos50,2900000,chr21,36683433,39588333,q22.2,gpos50,2904900,liftover,
chr21,41200000,46709983,q22.3,gneg,5509983,chr21,39588333,45090682,q22.3,gneg,5502349,"L boundary liftover, R boundary set to chromosome end",
chr22,0,4300000,p13,gvar,4300000,chr22,0,4770731,p13,gvar,4770731,R boundary at rDNA L boundary,
chr22,4300000,9400000,p12,stalk,5100000,chr22,4770731,5743502,p12,stalk,972771,boundaries at rDNA array boundaries,
chr22,9400000,13700000,p11.2,gvar,4300000,chr22,5743502,12788180,p11.2,gvar,7044678,"L boundary at rDNA R boundary, R boundary at HOR array L boundary",
chr22,13700000,15000000,p11.1,acen,1300000,chr22,12788180,14249622,p11.1,acen,1461442,"L boundary at HOR array L boundary, R boundary at midpoint of HOR array",
chr22,15000000,17400000,q11.1,acen,2400000,chr22,14249622,15711065,q11.1,acen,1461443,"R boundary at HOR array R boundary, L boundary at midpoint of HOR array",
chr22,17400000,21700000,q11.21,gneg,4300000,chr22,15711065,22113480,q11.21,gneg,6402415,"L boundary at HOR array R boundary, R boundary lifted over",
