GCA_000826245.1_Acanthamoeba_astronyxis	A.astronyxis (2015)
GCA_014825715.1_ASM1482571v1	ascomycetes C.albicans (UCSD 2020)
GCF_000835475.1_Clad_bant_CBS_173_52_V1	ascomycetes C.bantiana CBS 173.52
GCA_014849955.1_ASM1484995v1	ascomycetes C.carpinicola (CS3 2020)
GCA_014849695.1_ASM1484969v1	ascomycetes C.carpinicola (M9290 2020)
GCA_001700775.1_ASM170077v1	ascomycetes C.carrionii (KSF 2016)
GCF_000365165.1_Clad_carr_CBS_160_54_V1	ascomycetes C.carrionii CBS 160.54
GCA_023920165.1_ASM2392016v1	ascomycetes C.clavata (yc1106 2022)
GCF_000365145.1_Phia_euro_CBS_101466_V1	ascomycetes C.europaea CBS 101466
GCF_001692895.1_Cenococcum_geophilum_1.58_v2.0	ascomycetes C.geophilum (1.58 2016 refseq)
GCF_000143365.1_ASM14336v1	ascomycetes C.globosum CBS 148.51
GCF_000149035.1_C_graminicola_M1_001_V1	ascomycetes C.graminicola M1.001
GCF_001672515.1_ASM167251v1	ascomycetes C.higginsianum IMI 349063
GCA_000149815.1_ASM14981v1	ascomycetes C.immitis (H538.4 2006)
GCA_000149895.1_ASM14989v1	ascomycetes C.immitis (RMSCC 2394 2006)
GCA_000150085.1_ASM15008v1	ascomycetes C.immitis (RMSCC 3703 2007)
GCA_000149335.2_ASM14933v2	ascomycetes C.immitis (RS 2009)
GCA_004115165.2_Cimm211_ragoo	ascomycetes C.immitis (WA_211 2019)
GCF_000149335.2_ASM14933v2	ascomycetes C.immitis RS
GCF_000835495.1_Clad_immu_CBS83496_V1	ascomycetes C.immunda
GCA_014849835.1_ASM1484983v1	ascomycetes C.japonica (ES5 2020)
GCA_014849795.1_ASM1484979v1	ascomycetes C.japonica (IF-6 2020)
GCA_014851275.1_ASM1485127v1	ascomycetes C.japonica (M9249 2020)
GCA_004802535.1_ASM480253v1	ascomycetes C.macrospora (CBS 109764 2019)
GCF_017655625.1_BP57	ascomycetes C.metapsilosis (2021)
GCA_008080495.1_ASM808049v1	ascomycetes C.militaris (ATCC 34164 2017)
GCF_000225605.1_CmilitarisCM01_v01	ascomycetes C.militaris CM01
GCA_014850565.1_ASM1485056v1	ascomycetes C.naterciae (M3656 2020)
GCA_014850475.1_ASM1485047v1	ascomycetes C.naterciae (M3664 2020)
GCA_006503525.1_ASM650352v1	ascomycetes C.nitschkei (CBS 109758 2019)
GCA_004802565.1_ASM480256v1	ascomycetes C.nitschkei (CBS 109776 2019)
GCA_947184175.1_CPARA-Y9	ascomycetes C.parapsilosis (2022)
GCA_964199955.1_CPARA-4418	ascomycetes C.parapsilosis (2024)
GCA_900004165.1_CBS1954.1	ascomycetes C.parapsilosis (CBS1954 2014)
GCA_000982555.2_CBS6318.1	ascomycetes C.parapsilosis (CBS6318 2014)
GCA_036288975.1_ASM3628897v1	ascomycetes C.parapsilosis (CDC317 2024)
GCA_029290645.1_ASM2929064v1	ascomycetes C.parapsilosis (CTeuk-1915 2023)
GCA_008764215.1_FS367	ascomycetes C.parapsilosis (DE0235 2019)
GCA_000982675.1_GA1.1	ascomycetes C.parapsilosis (GA1 2014)
GCA_025531885.1_ASM2553188v1	ascomycetes C.parapsilosis (M8011 2022)
GCA_030568775.1_ASM3056877v1	ascomycetes C.parapsilosis (NRRL Y-12969 2023)
GCA_963989715.1_canParSR23v1	ascomycetes C.parapsilosis (SR23, CBS 7157 2024)
GCA_016735825.1_ASM1673582v1	ascomycetes C.parapsilosis (USM026 2021)
GCA_016735785.1_ASM1673578v1	ascomycetes C.parapsilosis (USM039K 2021)
GCF_000151335.2_JCVI-cpa1-1.0	ascomycetes C.posadasii (C735 delta SOWgp 2009 refseq)
GCA_000150245.1_ASM15024v1	ascomycetes C.posadasii (CPA 0001 2007)
GCA_000150615.1_ASM15061v1	ascomycetes C.posadasii (CPA 0020 2008)
GCA_000150645.1_ASM15064v1	ascomycetes C.posadasii (CPA 0066 2008)
GCA_000150555.1_ASM15055v1	ascomycetes C.posadasii (RMSCC 1037 2008)
GCA_000150585.1_ASM15058v1	ascomycetes C.posadasii (RMSCC 1038 2008)
GCA_000150185.1_ASM15018v1	ascomycetes C.posadasii (RMSCC 2133 2007)
GCA_000150055.1_ASM15005v1	ascomycetes C.posadasii (RMSCC 3488 2007)
GCA_000150215.1_ASM15021v1	ascomycetes C.posadasii (RMSCC 3700 2007)
GCA_018416015.2_ASM1841601v2	ascomycetes C.posadasii str. (Silveira 2022 genbank)
GCF_018416015.2_ASM1841601v2	ascomycetes C.posadasii str. (Silveira 2022 refseq)
GCF_000585535.1_Clad_psam_CBS_110553_V1	ascomycetes C.psammophila CBS 110553
GCA_001430955.1_ASM143095v1	ascomycetes C.queenslandicum (CBS 280.77 2015)
GCA_002179595.1_ASM217959v1	ascomycetes C.radicalis (AR3913 2017)
GCA_003054855.1_ASM305485v1	ascomycetes C.radicalis (AR_3850 2018)
GCA_003264835.1_ASM326483v1	ascomycetes C.radicalis (M2268 2018)
GCA_014849275.1_ASM1484927v1	ascomycetes C.radicalis (M2268 2020)
GCA_003264845.1_ASM326484v1	ascomycetes C.radicalis (M2270 2018)
GCA_014849355.1_ASM1484935v1	ascomycetes C.radicalis (M283 2020)
GCA_014850315.1_ASM1485031v1	ascomycetes C.radicalis (M4733 2020)
GCA_000170175.2_CPS2	ascomycetes C.Silveira (Silveira 2011)
GCA_003709865.1_ASM370986v1	ascomycetes C.sp. (CBS 132003 2018)
GCA_021019025.2_ASM2101902v2	ascomycetes C.tropicalis (C4 2024)
GCA_024220415.1_ASM2422041v1	ascomycetes C.tropicalis (CBW-2 2022)
GCA_017315405.1_ASM1731540v1	ascomycetes C.tropicalis (MYA-3404 2021)
GCA_035078465.1_MYCT-0997-2021	ascomycetes C.tropicalis (MYCT-0997-2021 2024)
GCA_035078395.1_MYCT-0825-2021	ascomycetes C.tropicalis (MYCT_0825-2021 2024)
GCA_035078385.1_MYCT-2752-2021	ascomycetes C.tropicalis (MYCT_2752-2021 2024)
GCA_023373895.1_ASM2337389v1	ascomycetes C.tropicalis (PNY 2022)
GCA_002864075.1_CtY66041.0	ascomycetes C.tropicalis (Y6604 2018)
GCF_000585515.1_Clad_yegr_CBS_114405_V1	ascomycetes C.yegresii CBS 114405
GCA_001660665.1_Emmo_afri_EA111	ascomycetes E.africanus (CBS 136260 2016)
GCF_000709125.1_Exop_aqua_CBS_119918_V1	ascomycetes E.aquamarina CBS 119918
GCA_001008285.1_ASM100828v1	ascomycetes E.crescens (UAMH 3008 2015)
GCF_000230625.1_Exop_derm_V1	ascomycetes E.dermatitidis NIH/UT8656
GCA_003814445.1_ASM381444v1	ascomycetes E.festucae (Fl1 2018)
GCA_051943615.1_ASM5194361v1	ascomycetes E.floccosum (CBS 100148 2025)
GCA_051943595.1_ASM5194359v1	ascomycetes E.floccosum (CBS 108.67 2025)
GCA_051944095.1_ASM5194409v1	ascomycetes E.floccosum (CBS 130802 2025)
GCA_000225285.2_EpiGly_1.0	ascomycetes E.glyceriae (E277 2011)
GCF_000836275.1_Exop_meso_CBS40295_V1	ascomycetes E.mesophila
GCF_000835515.1_Exop_olig_CBS72588_V1	ascomycetes E.oligosperma
GCA_002110485.1_ASM211048v1	ascomycetes E.orientalis (5z489 2017)
GCA_001883825.1_Emmo_past_UAMH9510_V1	ascomycetes E.pasteurianus Ep9510 (UAMH 9510 2016)
GCF_000836115.1_Exop_spin_CBS89968_V1	ascomycetes E.spinifera
GCA_021655885.1_ASM2165588v1	ascomycetes F.abutilonis (NRRL 66737 2022)
GCA_017657135.1_ASM1765713v1	ascomycetes F.acaciae-mearnsii (CBS 110253 2021)
GCA_017657105.1_ASM1765710v1	ascomycetes F.acaciae-mearnsii (CBS 110255 2021)
GCA_017657115.1_ASM1765711v1	ascomycetes F.acaciae-mearnsii (CBS 123662 2021)
GCA_014822065.1_ASM1482206v1	ascomycetes F.acaciae-mearnsii (NRRL 26754 2020)
GCA_038181435.1_ASM3818143v1	ascomycetes F.acuminatum (1A 2024)
GCA_013363215.1_ASM1336321v1	ascomycetes F.acuminatum (F829 2020)
GCA_012932015.1_ASM1293201v1	ascomycetes F.acutatum (NRRL 13308 2020)
GCA_017657045.1_ASM1765704v1	ascomycetes F.aethiopicum (CBS 122858 2021)
GCA_001654555.2_ASM165455v2	ascomycetes F.agapanthi (NRRL 31653 2020)
GCA_001654545.1_ASM165454v1	ascomycetes F.agapanthi (NRRL 54464 2016)
GCA_013618265.1_ASM1361826v1	ascomycetes F.albidum (NRRL_22152 2020)
GCA_012931995.1_ASM1293199v1	ascomycetes F.albosuccineum (NRRL 20459 2020)
GCA_002982055.1_ASM298205v1	ascomycetes F.algeriense (NRRL 66647 2018)
GCA_002982035.1_ASM298203v1	ascomycetes F.algeriense (NRRL 66648 2018)
GCA_003947045.1_NRRL20438v1	ascomycetes F.ambrosium (NRRL 20438 2018)
GCA_012977745.1_ASM1297774v1	ascomycetes F.anguioides (NRRL 25385 2020)
GCA_019189765.1_ASM1918976v1	ascomycetes F.annulatum (F8_4S_1F 2021)
GCA_019189775.1_ASM1918977v1	ascomycetes F.annulatum (F8_4S_2B 2021)
GCA_019189685.1_ASM1918968v1	ascomycetes F.annulatum (F8_4S_3B 2021)
GCA_019189625.1_ASM1918962v1	ascomycetes F.annulatum (F8_4S_4P 2021)
GCA_019189555.1_ASM1918955v1	ascomycetes F.annulatum (F8_4S_5P 2021)
GCA_022627115.1_ASM2262711v1	ascomycetes F.annulatum (FFSC RH5 2022)
GCA_044647055.1_ASM4464705v1	ascomycetes F.annulatum (NASWWP3 2024)
GCA_013364935.1_ASM1336493v1	ascomycetes F.anthophilum (NRRL 25214 2020)
GCA_051942675.1_ASM5194267v1	ascomycetes F.armeniacum (CN66 2025)
GCA_013618295.1_ASM1361829v1	ascomycetes F.armeniacum (NRRL 25141 2020)
GCA_050916195.1_ASM5091619v1	ascomycetes F.asiaticum (180197 2025)
GCA_017657095.1_ASM1765709v1	ascomycetes F.asiaticum (CBS 110258 2021)
GCA_051942695.1_ASM5194269v1	ascomycetes F.asiaticum (CN51 2025)
GCA_025258505.1_ASM2525850v1	ascomycetes F.asiaticum (KCTC 16664 2022)
GCA_013618305.1_ASM1361830v1	ascomycetes F.asiaticum (NRRL 26156 2020)
GCA_001717835.1_ASM171783v1	ascomycetes F.asiaticum (NRRL28720 2016)
GCA_001717845.1_ASM171784v1	ascomycetes F.asiaticum (NRRL6101 2016)
GCA_025427855.1_ASM2542785v1	ascomycetes F.asiaticum (SR7 2022)
GCA_025428385.1_ASM2542838v1	ascomycetes F.asiaticum (SW73 2022)
GCA_025428395.1_ASM2542839v1	ascomycetes F.asiaticum (SW74 2022)
GCA_012932025.1_ASM1293202v1	ascomycetes F.austroafricanum (NRRL 53441 2020)
GCA_009617525.1_Faus154	ascomycetes F.austroamericanum (28FRS 2019)
GCA_009617505.1_Faus151	ascomycetes F.austroamericanum (3FSP 2019)
GCA_017657025.1_ASM1765702v1	ascomycetes F.austroamericanum (CBS 110244 2021)
GCA_017657035.1_ASM1765703v1	ascomycetes F.austroamericanum (CBS 110246 2021)
GCA_013364965.1_ASM1336496v1	ascomycetes F.austroamericanum (NRRL 2903 2020)
GCA_019055345.1_ASM1905534v1	ascomycetes F.avenaceum (542020KK 2021)
GCA_019055315.1_ASM1905531v1	ascomycetes F.avenaceum (562020KK 2021)
GCA_018282135.1_ASM1828213v1	ascomycetes F.avenaceum (F156N33 2021)
GCA_000769215.1_Fave_05001	ascomycetes F.avenaceum (Fa05001 2014)
GCA_000769305.1_Fave_LH03	ascomycetes F.avenaceum (FaLH03 2014)
GCA_000769295.1_Fave_LH27	ascomycetes F.avenaceum (FaLH27 2014)
GCA_012959155.1_ASM1295915v1	ascomycetes F.avenaceum (KA13 2020)
GCA_044646885.1_ASM4464688v1	ascomycetes F.avenaceum (NC74 2024)
GCA_013753855.1_ASM1375385v1	ascomycetes F.avenaceum (NRRL 13321 2020)
GCA_019055295.1_ASM1905529v1	ascomycetes F.avenaceum (S18/60 2021)
GCA_019055285.1_ASM1905528v1	ascomycetes F.avenaceum (S18/70 2021)
GCA_019055275.1_ASM1905527v1	ascomycetes F.avenaceum (S18/74 2021)
GCA_025948275.1_ASM2594827v1	ascomycetes F.avenaceum (WV21P1A 2022)
GCA_013186375.1_ASM1318637v1	ascomycetes F.aywerte (NRRL 25410 2020)
GCA_012977765.1_ASM1297776v1	ascomycetes F.babinda (NRRL 25533 2020)
GCA_013184435.1_ASM1318443v1	ascomycetes F.babinda (NRRL 25539 2020)
GCA_013623355.1_ASM1362335v1	ascomycetes F.bactridioides (NRRL 66639 2020)
GCA_013186755.1_ASM1318675v1	ascomycetes F.begoniae (NRRL 25300 2020)
GCA_002980475.2_ASM298047v2	ascomycetes F.beomiforme (NRRL 25174 2020)
GCA_017656945.1_ASM1765694v1	ascomycetes F.boothii (CBS 110251 2021)
GCA_017656995.1_ASM1765699v1	ascomycetes F.boothii (CBS 119170 2021)
GCA_017656985.1_ASM1765698v1	ascomycetes F.boothii (CBS 316.73 2021)
GCA_052058405.1_ASM5205840v1	ascomycetes F.boothii (ET-2022-34 2025)
GCA_052058495.1_ASM5205849v1	ascomycetes F.boothii (ET-2022-41 2025)
GCA_018886245.1_Fb-HN-1	ascomycetes F.brachygibbosum (HN-1 2021)
GCA_017656955.1_ASM1765695v1	ascomycetes F.brasilicum (CBS 119179 2021)
GCA_013184295.1_ASM1318429v1	ascomycetes F.brasilicum (NRRL 31281 2020)
GCA_013363135.1_ASM1336313v1	ascomycetes F.brevicatenulatum (NRRL 25447 2020)
GCA_014822075.1_ASM1482207v1	ascomycetes F.buharicum (NRRL 13371 2020)
GCA_013186765.1_ASM1318676v1	ascomycetes F.bulbicola (NRRL 22947 2020)
GCA_013758895.1_ASM1375889v1	ascomycetes F.bulbicola (NRRL 25176 2020)
GCA_002980515.1_ASM298051v1	ascomycetes F.burgessii (NRRL 66654 2018)
GCA_045528865.1_TL_CB_CBS125551	ascomycetes F.buxicola (CBS 125551 2024)
GCA_014899095.1_ASM1489909v1	ascomycetes F.buxicola (NRRL 36148 2020)
GCA_013624355.1_ASM1362435v1	ascomycetes F.caatingaense (NRRL 66470 2020)
GCA_004367475.1_Fusarium_camptoceras_NRRL_13381	ascomycetes F.camptoceras (NRRL 13381 2019)
GCA_045529095.1_TL_GC_CBS125502	ascomycetes F.celtis-occidentalis (CBS 125502 2024)
GCA_011034095.1_ASM1103409v1	ascomycetes F.cf. aywerte (EtdFoc-240 2020)
GCA_011033525.1_ASM1103352v1	ascomycetes F.cf. falciforme (EtdFoc-167 2020)
GCA_011033595.1_ASM1103359v1	ascomycetes F.cf. falciforme (EtdFoc-184 2020)
GCA_011033785.1_ASM1103378v1	ascomycetes F.cf. falciforme (EtdFoc-186 2020)
GCA_011033705.1_ASM1103370v1	ascomycetes F.cf. falciforme (EtdFoc-195 2020)
GCA_011034735.1_ASM1103473v1	ascomycetes F.cf. falciforme (EtdFoc-38 2020)
GCA_011036775.1_ASM1103677v1	ascomycetes F.cf. falciforme (EtdFoc-58 2020)
GCA_011036815.1_ASM1103681v1	ascomycetes F.cf. falciforme (EtdFoc-68 2020)
GCA_011036285.1_ASM1103628v1	ascomycetes F.cf. falciforme (EthFoc-55 2020)
GCA_011036565.1_ASM1103656v1	ascomycetes F.cf. falciforme (EthFoc-77 2020)
GCA_011036445.1_ASM1103644v1	ascomycetes F.cf. falciforme (EthFoc-86 2020)
GCA_011034235.1_ASM1103423v1	ascomycetes F.cf. hostae (EtdFoc-222 2020)
GCA_011035845.1_ASM1103584v1	ascomycetes F.cf. hostae (EthFoc-22 2020)
GCA_011035825.1_ASM1103582v1	ascomycetes F.cf. hostae (EthFoc-23 2020)
GCA_011035525.1_ASM1103552v1	ascomycetes F.cf. nygamai (EthFoc-100 2020)
GCA_011036685.1_ASM1103668v1	ascomycetes F.cf. nygamai (EthFoc-DSP1 2020)
GCA_011033385.1_ASM1103338v1	ascomycetes F.cf. solani (EtdFoc-155 2020)
GCA_011033625.1_ASM1103362v1	ascomycetes F.cf. solani (EtdFoc-178 2020)
GCA_011033945.1_ASM1103394v1	ascomycetes F.cf. solani (EtdFoc-208 2020)
GCA_011033925.1_ASM1103392v1	ascomycetes F.cf. solani (EtdFoc-209 2020)
GCA_011421325.1_ASM1142132v1	ascomycetes F.cf. solani (EtdFoc-214 2020)
GCA_011036725.1_ASM1103672v1	ascomycetes F.cf. solani (EtdFoc-29 2020)
GCA_011036745.1_ASM1103674v1	ascomycetes F.cf. solani (EtdFoc-35 2020)
GCA_011034825.1_ASM1103482v1	ascomycetes F.cf. solani (EtdFoc-63 2020)
GCA_011036165.1_ASM1103616v1	ascomycetes F.cf. solani (EthFoc-38 2020)
GCA_011036515.1_ASM1103651v1	ascomycetes F.cf. solani (EthFoc-8 2020)
GCA_011035275.1_ASM1103527v1	ascomycetes F.cf. verticillioides (EthFoc-133 2020)
GCA_011036905.1_ASM1103690v1	ascomycetes F.cf. verticillioides (EthFoc-164 2020)
GCA_011036015.1_ASM1103601v1	ascomycetes F.cf. verticillioides (EthFoc-26 2020)
GCA_011036225.1_ASM1103622v1	ascomycetes F.cf. verticillioides (EthFoc-62 2020)
GCA_020137375.1_ASM2013737v1	ascomycetes F.chaquense (NRRL 66748 2021)
GCA_020137435.1_ASM2013743v1	ascomycetes F.chaquense (NRRL 66749 2021)
GCA_020137885.1_ASM2013788v1	ascomycetes F.chaquense (NRRL 66750 2021)
GCA_014898915.1_ASM1489891v1	ascomycetes F.chlamydosporum (NRRL 13444 2020)
GCA_022627125.1_ASM2262712v1	ascomycetes F.chuoi (FFSC RH1 2022)
GCA_022627105.1_ASM2262710v1	ascomycetes F.chuoi (FFSC RH3 2022)
GCA_021730345.1_ASM2173034v1	ascomycetes F.cicatricum (NRRL 54954 2022)
GCA_024047395.1_ASM2404739v1	ascomycetes F.circinatum (CMWF1803 2022)
GCA_021436885.1_ASM2143688v1	ascomycetes F.circinatum (CMWF2633 2022)
GCA_021513745.1_ASM2151374v1	ascomycetes F.circinatum (CMWF2634 2022)
GCA_024056715.1_ASM2405671v1	ascomycetes F.circinatum (CMWF560 2022)
GCA_040114195.1_ASM4011419v1	ascomycetes F.circinatum (Fc25332 2024)
GCA_019364535.1_USDA_FK870-A2_v1	ascomycetes F.circinatum (FK870_A2 2021)
GCA_019364515.1_USDA_FL72-T3	ascomycetes F.circinatum (FL72_t3 2021)
GCA_000497325.4_ASM49732v4	ascomycetes F.circinatum (FSP 34 2024)
GCA_000876485.1_ASM87648v1	ascomycetes F.circinatum (GL1327 2015)
GCA_021436905.1_ASM2143690v1	ascomycetes F.circinatum (JAL-3 2022)
GCA_002894005.2_ASM289400v2	ascomycetes F.circinatum (KS17 2023)
GCA_013396185.1_ASM1339618v1	ascomycetes F.circinatum (NRRL 25331 2020)
GCA_024514935.1_ASM2451493v1	ascomycetes F.circinatum (UG10 2022)
GCA_021513755.1_ASM2151375v1	ascomycetes F.circinatum (UG27 2022)
GCA_004367485.1_FIESC_29_NRRL_66334_ITEM_10392	ascomycetes F.citri (NRRL 66334 ITEM 10392 2019)
GCA_044646745.1_ASM4464674v1	ascomycetes F.clavum (NAGrPIST2 2024)
GCA_004367155.1_FIESC_5_NRRL_66337_ITEM_11348	ascomycetes F.clavum (NRRL 66337 ITEM 11348 2019)
GCA_004367465.1_FIESC_28_NRRL_66322_ITEM_1616	ascomycetes F.coffeatum (NRRL 66322 ITEM 1616 2019)
GCA_013781345.1_ASM1378134v1	ascomycetes F.coicis (NRRL 66233 2020)
GCA_034642005.1_ASM3464200v1	ascomycetes F.commune (16-560 2023)
GCA_044647445.1_ASM4464744v1	ascomycetes F.commune (B62 2024)
GCA_044647275.1_ASM4464727v1	ascomycetes F.commune (F10.2.2 2024)
GCA_044647265.1_ASM4464726v1	ascomycetes F.commune (F13.4.1 2024)
GCA_001599515.1_JCM_11502_assembly_v001	ascomycetes F.commune (JCM 11502 2016)
GCA_044647375.1_ASM4464737v1	ascomycetes F.commune (JICPIPO1 2024)
GCA_044646975.1_ASM4464697v1	ascomycetes F.commune (MiAE120 2024)
GCA_013618355.1_ASM1361835v1	ascomycetes F.commune (NRRL 28387 2020)
GCA_014824425.1_ASM1482442v1	ascomycetes F.concentricum (NRRL 25181 2020)
GCA_013184415.1_ASM1318441v1	ascomycetes F.concolor (NRRL 13459 2020)
GCA_013184455.1_ASM1318445v1	ascomycetes F.continuum (NRRL 66286 2020)
GCA_009617495.1_Fcor153	ascomycetes F.cortaderiae (1FP 2019)
GCA_017656915.1_ASM1765691v1	ascomycetes F.cortaderiae (CBS 119183 2021)
GCA_017656935.1_ASM1765693v1	ascomycetes F.cortaderiae (CBS 123655 2021)
GCA_017656885.1_ASM1765688v1	ascomycetes F.cortaderiae (CBS 123659 2021)
GCA_051942735.1_ASM5194273v1	ascomycetes F.cortaderiae (CN29 2025)
GCA_013184305.1_ASM1318430v1	ascomycetes F.cortaderiae (NRRL 29297 2020)
GCA_900074845.1_FcUK99v1.2	ascomycetes F.culmorum (2016)
GCA_016952355.1_ASM1695235v1	ascomycetes F.culmorum (Class2-1B 2020)
GCA_041380385.1_ASM4138038v1	ascomycetes F.culmorum (flower buds 2024)
GCA_013618375.1_ASM1361837v1	ascomycetes F.culmorum (NRRL 25475 2020)
GCA_019055245.1_ASM1905524v1	ascomycetes F.culmorum (S18/1 2021)
GCA_045528825.1_TL_CC_CBS101734	ascomycetes F.cyanostomum (CBS 101734 2024)
GCA_014824385.1_ASM1482438v1	ascomycetes F.cyanostomum (NRRL 53998 2020)
GCA_027627305.1_Fusarium_decemcellulare_reassembly_enz	ascomycetes F.decemcellulare (Babe19 2023)
GCA_013266205.1_ASM1326620v1	ascomycetes F.decemcellulare (NRRL 13412 2020)
GCA_045526855.1_TL_BD_CBS120718	ascomycetes F.delphinoides (CBS 120718 2024)
GCA_013396175.1_ASM1339617v1	ascomycetes F.denticulatum (NRRL 25311 2020)
GCA_017140155.1_ASM1714015v1	ascomycetes F.devonianum (NRRL 22134 2021)
GCA_045526845.1_TL_BD_CBS108944	ascomycetes F.dimerum (CBS 108944 2024)
GCA_013623525.1_ASM1362352v1	ascomycetes F.dimerum (NRRL 20691 2020)
GCA_013618395.1_ASM1361839v1	ascomycetes F.domesticum (NRRL 29976 2020)
GCA_012978555.1_ASM1297855v1	ascomycetes F.drepaniforme (NRRL 62941 2020)
GCA_003946985.1_NRRL62584.SPAdes	ascomycetes F.duplospermum (NRRL62584 2018)
GCA_019055215.1_ASM1905521v1	ascomycetes F.equiseti (512020KK 2021)
GCA_019055195.1_ASM1905519v1	ascomycetes F.equiseti (522020KK 2021)
GCA_019055165.1_ASM1905516v1	ascomycetes F.equiseti (552020KK 2021)
GCA_027945365.1_F_inc_CF00095	ascomycetes F.equiseti (CF00095 2023)
GCA_002894235.1_CS5819v1	ascomycetes F.equiseti (CS5819 2018)
GCA_003316835.1_ASM331683v1	ascomycetes F.equiseti (D25-1 2018)
GCA_004367125.1_Fusarium_equiseti_NRRL_66338_ITEM_11363	ascomycetes F.equiseti (NRRL 66338 ITEM 11363 2019)
GCA_019055125.1_ASM1905512v1	ascomycetes F.equiseti (S18/13 2021)
GCA_019055145.1_ASM1905514v1	ascomycetes F.equiseti (S18/26 2021)
GCA_019055085.1_ASM1905508v1	ascomycetes F.equiseti (S18/28 2021)
GCA_019055045.1_ASM1905504v1	ascomycetes F.equiseti (S18/29 2021)
GCA_019055015.1_ASM1905501v1	ascomycetes F.equiseti (S18/46 2021)
GCA_019055105.1_ASM1905510v1	ascomycetes F.equiseti (S18/52 2021)
GCA_019055055.1_ASM1905505v1	ascomycetes F.equiseti (S18/8 2021)
GCA_019055005.1_ASM1905500v1	ascomycetes F.equiseti (S19/1 2021)
GCA_019054965.1_ASM1905496v1	ascomycetes F.equiseti (S19/3 2021)
GCA_019054925.1_ASM1905492v1	ascomycetes F.equiseti (S19/4 2021)
GCA_019054915.1_ASM1905491v1	ascomycetes F.equiseti (S19/5 2021)
GCA_019054855.1_ASM1905485v1	ascomycetes F.equiseti (S19/6 2021)
GCA_019054885.1_ASM1905488v1	ascomycetes F.equiseti (S19/8 2021)
GCA_019054785.1_ASM1905478v1	ascomycetes F.equiseti (S19/9 2021)
GCA_002168265.2_ASM216826v2	ascomycetes F.euwallaceae (HFEW-16-IV-019 2017)
GCA_027945495.1_F_falc_A01-2	ascomycetes F.falciforme (A01-2 2023)
GCA_027945505.1_F_falc_A02	ascomycetes F.falciforme (A02 2023)
GCA_027945515.1_F_falc_A04	ascomycetes F.falciforme (A04 2023)
GCA_024500265.1_ASM2450026v1	ascomycetes F.falciforme (C5 2022)
GCA_026873545.1_ASM2687354v1	ascomycetes F.falciforme (Fu3.1 2022 genbank)
GCA_013363125.1_ASM1336312v1	ascomycetes F.falciforme (NRRL 43529 2020)
GCA_044646555.1_ASM4464655v1	ascomycetes F.falciforme (SC35 2024)
GCA_003012295.1_FIESC_12_NRRL13405_FIE12Z_contigs	ascomycetes F.flagelliforme (NRRL 13405 2018)
GCA_004367175.1_FIESC_12_NRRL_66336_ITEM_11294	ascomycetes F.flagelliforme (NRRL 66336 ITEM 11294 2019)
GCA_044592905.1_ASM4459290v1	ascomycetes F.flocciferum (31MAPSF17A 2024)
GCA_003947005.1_NRRL62606.SPAdes	ascomycetes F.floridanum (NRRL62606 2018)
GCA_013623845.1_ASM1362384v1	ascomycetes F.foetens (NRRL 38302 2020)
GCA_003353625.1_ASM335362v1	ascomycetes F.fracticaudum (CBS 137234 2018)
GCA_044646565.1_ASM4464656v1	ascomycetes F.fredkrugeri (SC7 2024)
GCA_902702945.1_I1.3_WholeGenome	ascomycetes F.fujikuroi (2021)
GCA_009663095.1_ASM966309v1	ascomycetes F.fujikuroi (Augusto2 2019)
GCA_000315255.1_B14_02	ascomycetes F.fujikuroi (B14 2013)
GCA_900096505.1_version_1	ascomycetes F.fujikuroi (B14 2017)
GCA_900096645.1_version_1	ascomycetes F.fujikuroi (C1995 2017)
GCA_901677955.1_C2S_WholeGenome	ascomycetes F.fujikuroi (C2S C2S 2021)
GCA_009663055.1_ASM966305v1	ascomycetes F.fujikuroi (CSV1 2019)
GCA_900096705.1_version_1	ascomycetes F.fujikuroi (E282 2017)
GCA_002864135.1_ASM286413v1	ascomycetes F.fujikuroi (F250 2018)
GCA_001023045.1_ASM102304v1	ascomycetes F.fujikuroi (FGSC 8932 2015)
GCA_900096685.1_version_1	ascomycetes F.fujikuroi (FSU48 2017)
GCA_002196585.2_FUS01-V2	ascomycetes F.fujikuroi (FUS01 2017)
GCA_009663115.1_ASM966311v1	ascomycetes F.fujikuroi (I1.3 2019)
GCA_900079805.1_Fusarium_fujikuroi_IMI58289_V2	ascomycetes F.fujikuroi (IMI 58289 2013)
GCA_009800985.1_IRD_FFuj_1	ascomycetes F.fujikuroi (ke1 2019)
GCA_001023065.1_ASM102306v1	ascomycetes F.fujikuroi (KSU 3368 2015)
GCA_001023035.1_ASM102303v1	ascomycetes F.fujikuroi (KSU X-10626 2015)
GCA_900096615.1_version_1	ascomycetes F.fujikuroi (m567 2017)
GCA_900096635.1_version_1	ascomycetes F.fujikuroi (MRC2276 2017)
GCA_900096625.1_version_1	ascomycetes F.fujikuroi (NCIM1100 2017)
GCA_013759025.1_ASM1375902v1	ascomycetes F.fujikuroi (NRRL 66331 2020)
GCA_044646505.1_ASM4464650v1	ascomycetes F.fujikuroi (SC5 2024)
GCA_901677965.1_SG4_WholeGenome	ascomycetes F.fujikuroi (SG4 SG4 2021)
GCF_900079805.1_Fusarium_fujikuroi_IMI58289_V2	ascomycetes F.fujikuroi IMI 58289
